Price,Adj Close,Close,High,Low,Open,Volume,returns,sma_20,sma_50,sma_200,rsi_14,vol_20,roc_10,signal_sma,signal_rsi,signal_mom,signal_rsi_trend,signal_ensemble
2000-10-17,85.76765441894531,134.75,138.5625,134.40625,138.4375,7831700,-0.0248756218905472,141.22109375,146.1853125,144.66703125,34.39487312500776,3.669840474285109,-5.43859649122807,0,0,0,0,0
2000-10-18,85.44937133789062,134.25,136.125,130.15625,132.625,10897300,-0.0037105751391465,140.6890625,145.8965625,144.63953125,33.66314380286342,3.875404199525852,-6.568073075250108,0,0,0,0,0
2000-10-19,88.67163848876953,139.3125,139.453125,136.4375,136.84375,8767300,0.0377094972067038,140.5203125,145.7340625,144.63609375,46.15394631539476,3.857242245775768,-3.381014304291288,0,0,0,0,0
2000-10-20,89.04959869384766,139.90625,141.1875,138.375,138.375,7373500,0.0042620008972633,140.2515625,145.5978125,144.646875,47.40479528674802,3.691769314330025,-0.819672131147541,0,0,0,0,0
2000-10-23,89.44739532470703,140.53125,141.03125,138.9375,139.9375,5290000,0.0044672771945499,140.065625,145.4603125,144.62078125,48.75428515899503,3.571475592970315,0.3794642857142857,0,0,1,0,0
2000-10-24,88.85066223144531,139.59375,141.9375,139.0,140.96875,5750700,-0.0066711140760506,139.925,145.2665625,144.5875,46.813958768986566,3.529588861736328,1.3844757149341806,0,0,1,0,0
2000-10-25,86.76216888427734,136.3125,139.5625,136.125,138.75,9137600,-0.0235057085292141,139.5828125,145.0096875,144.5465625,40.707503331419055,3.531581478969016,-0.1602197299153124,0,0,0,0,0
2000-10-26,87.0008544921875,136.6875,137.65625,134.03125,137.125,9345800,0.0027510316368637,139.1671875,144.7709375,144.5146875,41.64436029333624,3.3446840646908416,2.676056338028169,0,0,1,0,0
2000-10-27,88.65179443359375,139.28125,139.28125,136.625,137.875,9762900,0.0189757658893461,138.95,144.5528125,144.48609375,47.78926164506064,3.1767976935153444,1.2494320763289417,0,0,1,0,0
2000-10-30,89.44739532470703,140.53125,141.09375,138.15625,138.4375,10154100,0.0089746466232891,138.784375,144.3696875,144.45390625,50.49477511815517,2.989030451962844,1.6960651289009496,0,0,1,0,0
2000-10-31,90.9888687133789,142.953125,143.6875,140.0625,141.015625,7752400,0.0172337113631309,138.80703125,144.21875,144.439609375,55.32513520776697,3.0202309002097723,6.087662337662338,0,0,1,0,0
2000-11-01,90.68061065673828,142.46875,143.25,141.21875,142.25,6753600,-0.0033883484533828,138.74609375,144.063125,144.416953125,54.18637252435921,2.927447608657954,6.121973929236499,0,0,1,0,0
2000-11-02,90.82980346679688,142.703125,143.90625,142.515625,143.15625,11395100,0.0016450976091249,138.671875,143.9003125,144.40671875,54.67254052463769,2.7981955313926687,2.433826828174069,0,0,1,0,0
2000-11-03,90.8794937133789,142.78125,143.75,142.375,143.46875,5187100,0.0005474652359576,138.7578125,143.7296875,144.3984375,54.84455509861553,2.900020293287324,2.054947509492964,0,0,1,0,0
2000-11-06,91.51598358154295,143.78125,144.296875,143.03125,143.15625,4042500,0.007003720726636,138.946875,143.5803125,144.415625,57.08928587533929,3.1015211741576243,2.312652879697576,0,0,1,0,0
2000-11-07,91.49612426757812,143.75,144.0,142.5625,143.140625,5231300,-0.0002173440556401,139.25,143.42,144.4246875,56.99393657835652,3.2639621332919835,2.9773897470338038,0,0,1,0,0
2000-11-08,89.46723937988281,140.5625,144.0625,140.5625,144.0625,6123300,-0.0221739130434782,139.4515625,143.1953125,144.4234375,48.158625875548765,3.2112797350907933,3.1178358551123337,0,0,1,0,0
2000-11-09,89.12913513183594,140.03125,141.21875,137.25,140.0,10635300,-0.0037794575366829,139.796875,142.9890625,144.42234375,46.85491362536472,2.8456787487551587,2.446273433927755,0,0,1,0,0
2000-11-10,86.96109008789062,136.625,139.46875,136.53125,139.0,8569500,-0.0243249274715465,139.75,142.6746875,144.42609375,39.47584778471498,2.8917694213943568,-1.9071124074489565,0,0,0,0,0
2000-11-13,86.2848129272461,135.5625,136.984375,133.015625,135.625,17285300,-0.0077767612076852,139.61875,142.3359375,144.40609375,37.49237477190018,3.023012579789249,-3.5356904603068715,0,0,0,0,0
2000-11-14,88.55229949951172,139.125,139.625,137.0,137.46875,7668900,0.0262793914246195,139.8375,142.0928125,144.39703125,47.09148577148287,2.8024005437417587,-2.6778882938026016,0,0,0,0,0
2000-11-15,88.83080291748047,139.5625,140.109375,137.75,139.0625,8837700,0.0031446540880504,140.103125,141.8928125,144.38953125,48.144657967084,2.477900886693149,-2.039921035314762,0,0,0,0,0
2000-11-16,87.43843078613281,137.375,139.875,137.3125,138.578125,6684100,-0.0156739811912225,140.00625,141.6234375,144.36046875,43.48389569195384,2.5473386121465214,-3.733712909230264,0,0,0,0,0
2000-11-17,86.97103881835938,136.640625,139.0,135.75,137.3125,6551100,-0.0053457688808007,139.84296875,141.36,144.330703125,42.01344113979163,2.6564119290809867,-4.300722258699934,0,0,0,0,0
2000-11-20,85.72791290283203,134.6875,136.375,134.3125,135.75,5458500,-0.0142938822184105,139.55078125,141.061875,144.292265625,38.30356666895702,2.888011687652305,-6.324712019126277,0,0,0,0,0
2000-11-21,86.16546630859375,135.375,136.1875,133.515625,134.875,7684300,0.0051044083526681,139.33984375,140.799375,144.247578125,40.30185941526625,3.03503254823923,-5.826086956521739,0,0,0,0,0
2000-11-22,84.10679626464844,132.140625,134.875,132.125,134.34375,5736900,-0.0238919667590027,139.13125,140.464375,144.201875,34.620696911652885,3.3780307420266387,-5.991551800800356,0,0,0,0,0
2000-11-24,85.82731628417969,134.84375,134.96875,133.625,133.625,3411600,0.0204564266288282,139.0390625,140.1684375,144.16828125,41.98170855378805,3.472080474993861,-3.704530238785985,0,0,0,0,0
2000-11-27,86.58312225341797,136.03125,136.6875,135.3125,136.46875,5992000,0.0088064889918888,138.8765625,139.9690625,144.155,44.915817905076125,3.535620766769606,-0.434583714547118,0,0,0,0,0
2000-11-28,85.09135437011719,133.6875,136.59375,133.640625,135.125,5336100,-0.0172294968986905,138.534375,139.7496875,144.1259375,40.55635826600151,3.694649069048233,-1.3831258644536653,0,0,0,0,0
